,groups,X2dg,Am.Chl2,AMCL1,AmT,aza1,Aza2,bch,Bref.3,Bref4,BSO,cad3,Cadm2,Citric,CoCl,CoCl2,DPHE.3,dphe1,MelAB.1,MelAB2,MS,MSB3,msb4,msb5,NaBu,NaCl,NaLac,NaOthv,NaOxam,Rapa1,rapa2,Val
groups,1.0,-0.217487523641,-0.299186259967,-0.181464072042,-0.130086265338,-0.00751431121524,-0.00657420228914,-0.0889971753523,0.130838792301,-0.0546219964177,-0.00762002428563,0.0132045748316,0.00489026847124,-0.0616451865235,0.0535009283036,0.0826314549478,0.0368612612368,0.0144845062698,-0.225682428499,-0.3364291472,-0.190314346066,0.0791008002734,-0.0187400322102,-0.0507772306867,-0.197335967605,-0.167652060009,-0.0323282229838,0.213599685747,-0.176778072478,-0.155875189429,-0.28212929696,-0.0926753587054
X2dg,-0.217487523641,1.0,0.559578460804,0.516117484511,0.13834211129,0.245155211392,0.052093340232,0.088690535495,0.336471621035,0.349853515737,0.279631740582,0.134546988509,0.308107387201,0.0466917021215,0.144743682939,0.0823257688281,0.104836076794,0.326226911205,0.376784163633,0.486400463172,0.417957930289,0.105353437764,0.132337561322,0.0462839113916,0.0626755024094,0.264295984968,0.218809577407,-0.484900577054,0.110589274138,0.265207594594,0.429187319978,0.105755653376
Am.Chl2,-0.299186259967,0.559578460804,1.0,0.814580765829,0.160062762897,-0.175265695967,-0.191518344418,0.0479316006472,0.0163522318531,0.136631969526,0.216107478824,0.447056079705,0.587620232353,-0.215508262206,-0.032355612534,-0.102935629287,-0.101193778114,-0.0741805255478,0.239439453088,0.412360446248,0.710221494892,-0.216700438773,-0.159062315924,-0.193834310116,0.0182061131258,0.232243877814,-0.0506958583592,-0.0351144066454,-0.109301536775,0.112751341854,0.298338574035,-0.161301826269
AMCL1,-0.181464072042,0.516117484511,0.814580765829,1.0,0.458254702992,0.038748089972,0.18374261195,0.350614689001,0.120484322968,0.152609299654,0.430541121678,0.481327398541,0.590312746335,0.165230781967,0.403935803473,0.306391111688,0.177821676622,0.188497805982,0.465703994057,0.523899480952,0.654448071799,0.0748637406446,0.128668190718,0.129287170817,0.384078901587,0.514423410681,0.355208650282,0.15717127293,0.240619052812,0.393343071472,0.476164265007,0.227600486177
AmT,-0.130086265338,0.13834211129,0.160062762897,0.458254702992,1.0,0.202164389911,0.492200119789,0.796065638925,-0.138017287855,-0.0626109100246,0.691027023325,0.601191669874,0.517476374859,0.724829136393,0.838025282624,0.715360640486,0.594994489297,0.449895136945,0.58782024179,0.560893110673,0.392162509481,0.251012007494,0.399083936644,0.395912107282,0.787035761173,0.677641766838,0.470170812263,0.427490543599,0.761315188026,0.856549127344,0.806995988936,0.787478938143
aza1,-0.00751431121524,0.245155211392,-0.175265695967,0.038748089972,0.202164389911,1.0,0.744192875233,0.273196873251,0.209333949298,-0.0123282823249,0.228241299195,-0.146241265292,-0.16292515241,0.386204049191,0.164688696271,0.151510235661,0.290939741386,0.516551086117,0.351732182942,0.253009742419,-0.102722156058,0.376523897831,0.42013707123,0.438731510759,0.230157200104,0.172478012331,0.292333271692,-0.208729936412,0.294338523167,0.169670142188,0.213125233726,0.382114802105
Aza2,-0.00657420228914,0.052093340232,-0.191518344418,0.18374261195,0.492200119789,0.744192875233,1.0,0.408985994951,0.270541096299,0.0981757274958,0.41942999129,-0.0688387551794,-0.0861318674054,0.531766437704,0.474203793717,0.365538295828,0.402888412609,0.4784566315,0.449762042044,0.358347846555,-0.017319731727,0.405332123301,0.568995914353,0.532530108666,0.557397282352,0.420220307866,0.569613706226,0.135125732829,0.555225714924,0.3503161286,0.332361898632,0.652449602818
bch,-0.0889971753523,0.088690535495,0.0479316006472,0.350614689001,0.796065638925,0.273196873251,0.408985994951,1.0,-0.0455364832654,0.0166658010152,0.636613389347,0.414974833981,0.281108731552,0.808739938506,0.674363232243,0.671408829335,0.698530265279,0.641253588743,0.710144127421,0.580207351026,0.251372953652,0.272807062183,0.314653421436,0.344026704983,0.699318958505,0.671344557284,0.548340687001,0.446199251893,0.794663387231,0.727535109698,0.693227217267,0.711725176886
Bref.3,0.130838792301,0.336471621035,0.0163522318531,0.120484322968,-0.138017287855,0.209333949298,0.270541096299,-0.0455364832654,1.0,0.763374487915,0.180397131145,-0.42195950107,-0.247811258967,-0.10230020382,-0.0545267569992,-0.195891624022,-0.0151858899021,0.277916287782,0.253417786141,0.221008894203,0.0314214680022,0.211061627195,0.385294627109,0.27288047022,-0.000361198268865,0.172803020503,0.417152584362,-0.0561556521055,-0.0214092852377,-0.185756364918,-0.0404277272576,0.0817388047304
Bref4,-0.0546219964177,0.349853515737,0.136631969526,0.152609299654,-0.0626109100246,-0.0123282823249,0.0981757274958,0.0166658010152,0.763374487915,1.0,0.232553945474,-0.283244756434,-0.177602673071,0.00427849910154,0.018530193067,-0.155910988126,0.0674011520241,0.281604479707,0.333129844696,0.442875583061,0.104465213731,0.0947755951925,0.274308924458,0.23500555443,0.022085014801,0.237281242137,0.383522885822,-0.0461267616024,0.139566838646,-0.098936766302,0.138696560019,0.138759674055
BSO,-0.00762002428563,0.279631740582,0.216107478824,0.430541121678,0.691027023325,0.228241299195,0.41942999129,0.636613389347,0.180397131145,0.232553945474,1.0,0.444788484325,0.374567687461,0.498410449756,0.528073021604,0.508066211858,0.608529936113,0.581738666104,0.542780266275,0.514977256562,0.59249549576,0.377501244207,0.384970219552,0.40703366901,0.418465503939,0.75073350055,0.402921701045,0.383964575181,0.583610459936,0.61821921874,0.639500168894,0.583497490873
cad3,0.0132045748316,0.134546988509,0.447056079705,0.481327398541,0.601191669874,-0.146241265292,-0.0688387551794,0.414974833981,-0.42195950107,-0.283244756434,0.444788484325,1.0,0.929260397482,0.253776535371,0.520549244665,0.495039274257,0.286864492269,0.128470973345,0.225806139607,0.264055667692,0.504683637366,-0.117073730698,-0.0917523389496,-0.0385923176086,0.284528569067,0.361598002867,-0.104273354405,0.32321964393,0.305356355138,0.582975327826,0.5508768633,0.260906818181
Cadm2,0.00489026847124,0.308107387201,0.587620232353,0.590312746335,0.517476374859,-0.16292515241,-0.0861318674054,0.281108731552,-0.247811258967,-0.177602673071,0.374567687461,0.929260397482,1.0,0.095234588795,0.459882038689,0.364135452308,0.123490157877,0.0812497029335,0.232361802841,0.283342499571,0.584673959296,-0.223365428341,-0.127099257314,-0.1286284145,0.217852302655,0.289194221101,-0.0943247775207,0.223954376586,0.166629140296,0.505886984708,0.5433464963,0.149552817065
Citric,-0.0616451865235,0.0466917021215,-0.215508262206,0.165230781967,0.724829136393,0.386204049191,0.531766437704,0.808739938506,-0.10230020382,0.00427849910154,0.498410449756,0.253776535371,0.095234588795,1.0,0.744406594798,0.749068216874,0.724039087333,0.621690531223,0.596726296691,0.462324744087,-0.0726900303327,0.448077309924,0.439734723531,0.505567943804,0.677913481509,0.52970778161,0.566701709056,0.282950515049,0.826386447764,0.722829274646,0.622869108628,0.787752975679
CoCl,0.0535009283036,0.144743682939,-0.032355612534,0.403935803473,0.838025282624,0.164688696271,0.474203793717,0.674363232243,-0.0545267569992,0.018530193067,0.528073021604,0.520549244665,0.459882038689,0.744406594798,1.0,0.848484979558,0.536925318703,0.443321795605,0.531559350053,0.45774673,0.173542872903,0.293378184465,0.426416112443,0.417904502101,0.728429128474,0.577218310976,0.530420081494,0.311455546625,0.735745678485,0.792015662886,0.696873714476,0.776383293817
CoCl2,0.0826314549478,0.0823257688281,-0.102935629287,0.306391111688,0.715360640486,0.151510235661,0.365538295828,0.671408829335,-0.195891624022,-0.155910988126,0.508066211858,0.495039274257,0.364135452308,0.749068216874,0.848484979558,1.0,0.696217312862,0.421304967454,0.411211223422,0.303209240443,0.127958488217,0.498400447515,0.306980435528,0.383133529363,0.659937502251,0.544105447926,0.453060762337,0.311060902769,0.718653806674,0.854972610167,0.618043541438,0.711406289497
DPHE.3,0.0368612612368,0.104836076794,-0.101193778114,0.177821676622,0.594994489297,0.290939741386,0.402888412609,0.698530265279,-0.0151858899021,0.0674011520241,0.608529936113,0.286864492269,0.123490157877,0.724039087333,0.536925318703,0.696217312862,1.0,0.728060131753,0.550159901515,0.519719299622,0.113403454384,0.565253432385,0.395825793881,0.499934946743,0.570306572256,0.611027174605,0.565526178578,0.260040065773,0.768505517479,0.680536058714,0.567298091799,0.732517187905
dphe1,0.0144845062698,0.326226911205,-0.0741805255478,0.188497805982,0.449895136945,0.516551086117,0.4784566315,0.641253588743,0.277916287782,0.281604479707,0.581738666104,0.128470973345,0.0812497029335,0.621690531223,0.443321795605,0.421304967454,0.728060131753,1.0,0.592708125438,0.547004950688,0.0895418660828,0.408724372308,0.506137174045,0.551916787595,0.400204813568,0.543397505762,0.513488581371,0.116297884266,0.653320828217,0.449670758856,0.568389013108,0.613966729737
MelAB.1,-0.225682428499,0.376784163633,0.239439453088,0.465703994057,0.58782024179,0.351732182942,0.449762042044,0.710144127421,0.253417786141,0.333129844696,0.542780266275,0.225806139607,0.232361802841,0.596726296691,0.531559350053,0.411211223422,0.550159901515,0.592708125438,1.0,0.856691852068,0.321749316615,0.217934699336,0.372294360951,0.321495030363,0.596750600907,0.632063107224,0.636480905067,0.172087918445,0.604835029711,0.543784000866,0.619227859297,0.583177264363
MelAB2,-0.3364291472,0.486400463172,0.412360446248,0.523899480952,0.560893110673,0.253009742419,0.358347846555,0.580207351026,0.221008894203,0.442875583061,0.514977256562,0.264055667692,0.283342499571,0.462324744087,0.45774673,0.303209240443,0.519719299622,0.547004950688,0.856691852068,1.0,0.424446901169,0.108831477761,0.304298953108,0.271975299895,0.553092851195,0.607947352513,0.561220554406,0.0610667870831,0.58487392867,0.508909425764,0.702383363498,0.570122412482
MS,-0.190314346066,0.417957930289,0.710221494892,0.654448071799,0.392162509481,-0.102722156058,-0.017319731727,0.251372953652,0.0314214680022,0.104465213731,0.59249549576,0.504683637366,0.584673959296,-0.0726900303327,0.173542872903,0.127958488217,0.113403454384,0.0895418660828,0.321749316615,0.424446901169,1.0,-0.132177766986,-0.076414774229,-0.0742506881533,0.162103834896,0.580826693198,0.0803579575293,0.197835507915,0.148382859192,0.359851138203,0.464740667351,0.0710723247086
MSB3,0.0791008002734,0.105353437764,-0.216700438773,0.0748637406446,0.251012007494,0.376523897831,0.405332123301,0.272807062183,0.211061627195,0.0947755951925,0.377501244207,-0.117073730698,-0.223365428341,0.448077309924,0.293378184465,0.498400447515,0.565253432385,0.408724372308,0.217934699336,0.108831477761,-0.132177766986,1.0,0.735849846323,0.801514156943,0.26985090266,0.334042107185,0.38816463228,-0.0129364699952,0.430529660218,0.381225093526,0.204024604448,0.473865099583
msb4,-0.0187400322102,0.132337561322,-0.159062315924,0.128668190718,0.399083936644,0.42013707123,0.568995914353,0.314653421436,0.385294627109,0.274308924458,0.384970219552,-0.0917523389496,-0.127099257314,0.439734723531,0.426416112443,0.306980435528,0.395825793881,0.506137174045,0.372294360951,0.304298953108,-0.076414774229,0.735849846323,1.0,0.870293819938,0.374687426399,0.364775484114,0.451700316903,0.0200492341671,0.507003511254,0.30164351569,0.305529557696,0.549772762181
msb5,-0.0507772306867,0.0462839113916,-0.193834310116,0.129287170817,0.395912107282,0.438731510759,0.532530108666,0.344026704983,0.27288047022,0.23500555443,0.40703366901,-0.0385923176086,-0.1286284145,0.505567943804,0.417904502101,0.383133529363,0.499934946743,0.551916787595,0.321495030363,0.271975299895,-0.0742506881533,0.801514156943,0.870293819938,1.0,0.370165209739,0.426188384103,0.438460952006,0.0893177815102,0.565282143054,0.336095320906,0.328902306628,0.599315876773
NaBu,-0.197335967605,0.0626755024094,0.0182061131258,0.384078901587,0.787035761173,0.230157200104,0.557397282352,0.699318958505,-0.000361198268865,0.022085014801,0.418465503939,0.284528569067,0.217852302655,0.677913481509,0.728429128474,0.659937502251,0.570306572256,0.400204813568,0.596750600907,0.553092851195,0.162103834896,0.26985090266,0.374687426399,0.370165209739,1.0,0.627143310714,0.717937595596,0.387630337677,0.75941733344,0.765366922351,0.703693363361,0.875604245925
NaCl,-0.167652060009,0.264295984968,0.232243877814,0.514423410681,0.677641766838,0.172478012331,0.420220307866,0.671344557284,0.172803020503,0.237281242137,0.75073350055,0.361598002867,0.289194221101,0.52970778161,0.577218310976,0.544105447926,0.611027174605,0.543397505762,0.632063107224,0.607947352513,0.580826693198,0.334042107185,0.364775484114,0.426188384103,0.627143310714,1.0,0.598258825774,0.33337964116,0.756745952495,0.632118538512,0.613379318246,0.64942766516
NaLac,-0.0323282229838,0.218809577407,-0.0506958583592,0.355208650282,0.470170812263,0.292333271692,0.569613706226,0.548340687001,0.417152584362,0.383522885822,0.402921701045,-0.104273354405,-0.0943247775207,0.566701709056,0.530420081494,0.453060762337,0.565526178578,0.513488581371,0.636480905067,0.561220554406,0.0803579575293,0.38816463228,0.451700316903,0.438460952006,0.717937595596,0.598258825774,1.0,0.251938305752,0.65585654055,0.458400629707,0.435675902734,0.721878311076
NaOthv,0.213599685747,-0.484900577054,-0.0351144066454,0.15717127293,0.427490543599,-0.208729936412,0.135125732829,0.446199251893,-0.0561556521055,-0.0461267616024,0.383964575181,0.32321964393,0.223954376586,0.282950515049,0.311455546625,0.311060902769,0.260040065773,0.116297884266,0.172087918445,0.0610667870831,0.197835507915,-0.0129364699952,0.0200492341671,0.0893177815102,0.387630337677,0.33337964116,0.251938305752,1.0,0.270816799766,0.264430864408,0.169306525613,0.327758175033
NaOxam,-0.176778072478,0.110589274138,-0.109301536775,0.240619052812,0.761315188026,0.294338523167,0.555225714924,0.794663387231,-0.0214092852377,0.139566838646,0.583610459936,0.305356355138,0.166629140296,0.826386447764,0.735745678485,0.718653806674,0.768505517479,0.653320828217,0.604835029711,0.58487392867,0.148382859192,0.430529660218,0.507003511254,0.565282143054,0.75941733344,0.756745952495,0.65585654055,0.270816799766,1.0,0.759295266064,0.707860294882,0.863334418662
Rapa1,-0.155875189429,0.265207594594,0.112751341854,0.393343071472,0.856549127344,0.169670142188,0.3503161286,0.727535109698,-0.185756364918,-0.098936766302,0.61821921874,0.582975327826,0.505886984708,0.722829274646,0.792015662886,0.854972610167,0.680536058714,0.449670758856,0.543784000866,0.508909425764,0.359851138203,0.381225093526,0.30164351569,0.336095320906,0.765366922351,0.632118538512,0.458400629707,0.264430864408,0.759295266064,1.0,0.873631229853,0.781645631789
rapa2,-0.28212929696,0.429187319978,0.298338574035,0.476164265007,0.806995988936,0.213125233726,0.332361898632,0.693227217267,-0.0404277272576,0.138696560019,0.639500168894,0.5508768633,0.5433464963,0.622869108628,0.696873714476,0.618043541438,0.567298091799,0.568389013108,0.619227859297,0.702383363498,0.464740667351,0.204024604448,0.305529557696,0.328902306628,0.703693363361,0.613379318246,0.435675902734,0.169306525613,0.707860294882,0.873631229853,1.0,0.74486352311
Val,-0.0926753587054,0.105755653376,-0.161301826269,0.227600486177,0.787478938143,0.382114802105,0.652449602818,0.711725176886,0.0817388047304,0.138759674055,0.583497490873,0.260906818181,0.149552817065,0.787752975679,0.776383293817,0.711406289497,0.732517187905,0.613966729737,0.583177264363,0.570122412482,0.0710723247086,0.473865099583,0.549772762181,0.599315876773,0.875604245925,0.64942766516,0.721878311076,0.327758175033,0.863334418662,0.781645631789,0.74486352311,1.0
